gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
26362,3525.717905,-6.559448455,0.328044911,-19.99558061,6.02E-89,1.73E-86
12826,30542.57675,-5.869374548,0.293843509,-19.97449106,9.18E-89,2.59E-86
22240,1558.983597,-7.098704518,0.355970925,-19.94180992,1.77E-88,4.92E-86
241556,481.5497951,-6.35566848,0.319259008,-19.90756192,3.50E-88,9.60E-86
65973,3495.672445,-3.240246106,0.163778422,-19.78432856,4.06E-87,1.10E-84
68861,1092.977677,-3.241260841,0.16411217,-19.75027716,7.98E-87,2.13E-84
20541,348.5688276,-6.967730541,0.352867446,-19.74602822,8.68E-87,2.28E-84
214804,712.3370552,-2.612248416,0.132839634,-19.66467638,4.33E-86,1.12E-83
99929,5331.353463,-2.286936634,0.116305121,-19.66324973,4.45E-86,1.14E-83
98932,20271.8503,-8.592887367,0.4371423,-19.65695692,5.04E-86,1.27E-83
20583,883.3248968,-7.71274084,0.39293683,-19.62844977,8.84E-86,2.20E-83
15234,476.7790695,-7.445181044,0.37955643,-19.61547861,1.14E-85,2.80E-83
20358,562.9566983,-3.741569826,0.192913547,-19.39506008,8.50E-84,2.06E-81
77590,859.7202347,-7.086020094,0.365585267,-19.38267414,1.08E-83,2.59E-81
11475,140621.0873,-8.981682732,0.464198023,-19.3488173,2.09E-83,4.94E-81
546546,3080.788017,-5.846471827,0.303029867,-19.29338482,6.10E-83,1.43E-80
14451,5059.008318,-7.051105769,0.365487359,-19.29233831,6.23E-83,1.44E-80
228911,2295.86548,-6.721223155,0.34923597,-19.24550656,1.54E-82,3.51E-80
93761,166.4386548,-6.125511846,0.319132253,-19.1942738,4.13E-82,9.31E-80
22409,633.256123,-7.846785361,0.409484493,-19.16259467,7.60E-82,1.69E-79
56191,425.7149817,-8.260042896,0.431821992,-19.1283516,1.47E-81,3.23E-79
29877,568.5332589,-6.537721794,0.342655451,-19.07957915,3.73E-81,8.12E-79
12162,830.9625822,-5.638973466,0.296898156,-18.9929555,1.95E-80,4.20E-78
72097,450.8298811,5.394897986,0.284220571,18.9813776,2.43E-80,5.17E-78
109205,727.1171658,-8.90985277,0.472631497,-18.85158487,2.85E-79,6.00E-77
30785,547.8156665,-6.985895699,0.371494811,-18.80482713,6.89E-79,1.43E-76
12821,11448.99567,-7.562294767,0.40258359,-18.7844089,1.01E-78,2.08E-76
17880,91460.63673,-8.915161601,0.47557795,-18.74595237,2.09E-78,4.25E-76
59091,1520.266605,-8.401521428,0.448231131,-18.74372585,2.18E-78,4.39E-76
237353,142.7412259,-5.339779891,0.285320508,-18.71502305,3.73E-78,7.44E-76
59012,1844.95576,-7.330250748,0.393222586,-18.64147942,1.48E-77,2.92E-75
14231,153.8941534,-3.73899066,0.200697677,-18.62996484,1.84E-77,3.58E-75
23959,1229.814186,-5.300391718,0.286385581,-18.50788613,1.78E-76,3.45E-74
76088,1321.230404,4.475943519,0.243098291,18.41207318,1.05E-75,2.01E-73
107589,28269.67637,-8.531280498,0.466649597,-18.28198407,1.15E-74,2.18E-72
216049,423.685252,-7.628423164,0.418149816,-18.2432776,2.34E-74,4.39E-72
239759,295.0636477,5.709716248,0.314570016,18.15085975,1.26E-73,2.35E-71
57266,27933.65076,-8.63331955,0.475884177,-18.14164027,1.50E-73,2.75E-71
19274,675.6091688,-4.752193485,0.262186275,-18.12525649,2.01E-73,3.67E-71
20716,9915.267642,-6.233641679,0.344363498,-18.10192345,3.08E-73,5.55E-71
14766,6076.716428,-3.296445933,0.182180779,-18.09436735,3.53E-73,6.30E-71
12192,25923.95163,-2.861133466,0.158515675,-18.0495302,7.96E-73,1.41E-70
666048,859.8047946,-6.066145267,0.336913224,-18.00506726,1.78E-72,3.12E-70
20564,1485.155572,-7.015384063,0.39087734,-17.94778909,4.99E-72,8.67E-70
330222,1607.990085,-7.940876109,0.442659473,-17.93901767,5.85E-72,1.01E-69
319909,920.359207,-5.754659158,0.321167016,-17.91796441,8.54E-72,1.46E-69
12326,446.76726,-6.285901803,0.350961646,-17.91050922,9.76E-72,1.65E-69
100129,497.5699859,-4.949360662,0.276471453,-17.9018868,1.14E-71,1.91E-69
71721,294.7409639,-5.634689231,0.315046562,-17.88525859,1.54E-71,2.55E-69
225288,4310.88974,-4.815573713,0.26946881,-17.87061631,2.00E-71,3.29E-69
330812,538.3817216,-5.896249706,0.330133939,-17.86017432,2.41E-71,3.93E-69
212439,362.7896693,3.817896363,0.213935971,17.84597672,3.11E-71,5.03E-69
76686,399.4288267,-6.755112494,0.379983943,-17.77736303,1.06E-70,1.70E-68
246228,3130.451346,-5.756412377,0.324451246,-17.74199495,1.99E-70,3.16E-68
55987,1425.156737,-8.098660718,0.457382384,-17.70654273,3.73E-70,5.89E-68
108800,2134.846594,-3.544463475,0.20045238,-17.68232171,5.74E-70,8.98E-68
71446,153.6041434,3.216836046,0.182062414,17.66886409,7.28E-70,1.13E-67
18160,1033.878984,-4.306705505,0.244654065,-17.60324525,2.33E-69,3.58E-67
628900,803.2187354,-5.96518786,0.33891634,-17.60076798,2.43E-69,3.71E-67
67182,93.21074751,5.613259234,0.318968071,17.59818535,2.54E-69,3.85E-67
21804,2337.151378,-7.462797213,0.424114801,-17.59617253,2.64E-69,3.96E-67
18400,154.4156503,5.792445199,0.332757993,17.4073811,7.25E-68,1.08E-65
594844,183.9548371,-6.975638502,0.401060983,-17.39296217,9.33E-68,1.38E-65
68010,728.5622084,-2.629896433,0.151432787,-17.36675712,1.47E-67,2.16E-65
63913,8027.519113,-6.856119842,0.396588133,-17.28775842,5.82E-67,8.47E-65
15904,1018.418061,-6.325099759,0.366701575,-17.24862993,1.15E-66,1.66E-64
56209,3623.768384,2.915707073,0.169062683,17.24630785,1.19E-66,1.71E-64
19766,4392.828563,-1.828696102,0.106056209,-17.24270664,1.27E-66,1.81E-64
11754,2596.257201,-7.03342529,0.408247165,-17.22835058,1.63E-66,2.30E-64
56693,521.5970714,-2.503581097,0.145643144,-17.18983144,3.16E-66,4.44E-64
16852,3255.164456,-5.613602915,0.330777356,-16.97094076,1.35E-64,1.88E-62
114679,1104.355615,-6.508455442,0.383791673,-16.95830291,1.67E-64,2.31E-62
71093,118.0743415,-5.486874308,0.325264721,-16.86895,7.61E-64,1.04E-61
71913,282.2094084,2.784015106,0.165403956,16.83161132,1.43E-63,1.95E-61
66873,382.6470304,-6.981832869,0.415006264,-16.82343974,1.64E-63,2.22E-61
226922,614.7545689,-9.051886147,0.539896656,-16.76596074,4.33E-63,5.81E-61
104001,1128.906089,-7.939853783,0.473827318,-16.75685102,5.05E-63,6.73E-61
18764,1457.501952,-2.865629499,0.171069167,-16.7512916,5.54E-63,7.34E-61
66042,516.8345731,-7.509134146,0.448843313,-16.72996772,7.93E-63,1.04E-60
20692,20847.42228,-6.171762043,0.369082928,-16.72188438,9.08E-63,1.19E-60
11838,19863.25399,-4.981460171,0.297940129,-16.71966845,9.42E-63,1.22E-60
12832,1848.882871,-5.671175364,0.33920045,-16.71924482,9.49E-63,1.22E-60
64082,458.4891306,-7.375173591,0.441208398,-16.71585045,1.00E-62,1.29E-60
58998,556.176524,-4.671126984,0.279766879,-16.69649744,1.39E-62,1.77E-60
12288,998.8015409,-4.306405617,0.258989142,-16.62774578,4.39E-62,5.54E-60
101437,669.0983861,3.033991965,0.182478961,16.62653028,4.48E-62,5.61E-60
210297,101.9839282,-5.351514548,0.322029218,-16.61810251,5.15E-62,6.42E-60
67305,126.3142641,-5.649566794,0.340445131,-16.59464708,7.62E-62,9.43E-60
13497,331.5977912,-5.706682974,0.344844868,-16.54855123,1.64E-61,2.02E-59
18830,2017.636784,-6.276062686,0.3811478,-16.4662178,6.42E-61,7.84E-59
214968,1551.703846,-5.527762946,0.336642852,-16.42025937,1.37E-60,1.66E-58
19414,1442.066364,-5.569688533,0.339295164,-16.4154669,1.48E-60,1.79E-58
